listid,participant,verb,subject,consequent,valence,question,response,task,scenario
2,61,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.6,norming,mechanic-notify
2,69,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.62,norming,mechanic-notify
2,21,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.85,norming,mechanic-notify
2,65,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.2,norming,mechanic-notify
2,82,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.28,norming,mechanic-notify
2,52,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.99,norming,mechanic-notify
2,89,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.67,norming,mechanic-notify
0,96,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.3,norming,dishwasher-complain
0,33,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,1e-05,norming,dishwasher-complain
0,2,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.57,norming,dishwasher-complain
0,59,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,1e-05,norming,dishwasher-complain
0,29,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.39,norming,dishwasher-complain
0,76,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.24,norming,dishwasher-complain
0,20,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.19,norming,dishwasher-complain
0,31,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.2,norming,dishwasher-complain
0,64,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.6,norming,dishwasher-complain
0,12,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.71,norming,dishwasher-complain
0,30,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.5,norming,dishwasher-complain
0,27,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.09,norming,dishwasher-complain
0,34,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,1e-05,norming,dishwasher-complain
0,7,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,1e-05,norming,dishwasher-complain
0,50,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.01,norming,dishwasher-complain
0,71,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.99999,norming,dishwasher-complain
0,16,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.02,norming,dishwasher-complain
0,49,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.2,norming,dishwasher-complain
0,66,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.04,norming,dishwasher-complain
0,95,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.05,norming,dishwasher-complain
0,15,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.59,norming,dishwasher-complain
0,38,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.57,norming,dishwasher-complain
0,36,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.83,norming,dishwasher-complain
0,45,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.5,norming,dishwasher-complain
0,68,complain,dishwasher,believe,positive,What proportion of dishwashers generally believe that busboys will clean the dishes?,0.14,norming,dishwasher-complain
0,96,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.6,norming,lawyer-disprove
0,33,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.1,norming,lawyer-disprove
0,2,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.4,norming,lawyer-disprove
0,59,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.51,norming,lawyer-disprove
0,29,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.73,norming,lawyer-disprove
0,76,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.5,norming,lawyer-disprove
0,20,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.42,norming,lawyer-disprove
0,31,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.5,norming,lawyer-disprove
0,64,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.51,norming,lawyer-disprove
0,12,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.32,norming,lawyer-disprove
0,30,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.5,norming,lawyer-disprove
0,27,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.85,norming,lawyer-disprove
0,34,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.5,norming,lawyer-disprove
0,7,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.55,norming,lawyer-disprove
0,50,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.5,norming,lawyer-disprove
0,71,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.5,norming,lawyer-disprove
0,16,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.45,norming,lawyer-disprove
0,49,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.65,norming,lawyer-disprove
0,66,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.5,norming,lawyer-disprove
0,95,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.75,norming,lawyer-disprove
0,15,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.59,norming,lawyer-disprove
0,38,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.59,norming,lawyer-disprove
0,36,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.6,norming,lawyer-disprove
0,45,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.61,norming,lawyer-disprove
0,68,disprove,lawyer,believe,negative,What proportion of juries generally believe that defendants have commited murders?,0.66,norming,lawyer-disprove
2,26,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.29,norming,sailor-complain
2,51,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.05,norming,sailor-complain
2,88,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.38,norming,sailor-complain
2,19,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.5,norming,sailor-complain
2,25,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.6,norming,sailor-complain
2,84,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.14,norming,sailor-complain
2,47,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,1e-05,norming,sailor-complain
2,74,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.45,norming,sailor-complain
2,63,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.3,norming,sailor-complain
2,62,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.21,norming,sailor-complain
2,90,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.27,norming,sailor-complain
2,85,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.15,norming,sailor-complain
2,1,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.19,norming,sailor-complain
2,37,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.35,norming,sailor-complain
2,83,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.05,norming,sailor-complain
2,18,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.66,norming,sailor-complain
2,44,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.1,norming,sailor-complain
2,98,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.02,norming,sailor-complain
2,61,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.65,norming,sailor-complain
2,69,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.77,norming,sailor-complain
2,21,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.1,norming,sailor-complain
2,65,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.2,norming,sailor-complain
2,82,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.09,norming,sailor-complain
2,52,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.78,norming,sailor-complain
2,89,complain,sailor,believe,negative,What proportion of sailors generally believe that the decks will flood?,0.32,norming,sailor-complain
0,96,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.7,norming,doctor-think
0,33,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.31,norming,doctor-think
0,2,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.46,norming,doctor-think
0,59,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.65,norming,doctor-think
0,29,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.63,norming,doctor-think
0,76,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.62,norming,doctor-think
0,20,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.84,norming,doctor-think
0,31,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.21,norming,doctor-think
0,64,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.37,norming,doctor-think
0,12,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.77,norming,doctor-think
0,30,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.32,norming,doctor-think
0,27,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.15,norming,doctor-think
0,34,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.5,norming,doctor-think
0,7,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.68,norming,doctor-think
0,50,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.99999,norming,doctor-think
0,71,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.35,norming,doctor-think
0,16,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.21,norming,doctor-think
0,49,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.7,norming,doctor-think
0,66,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.79,norming,doctor-think
0,95,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.67,norming,doctor-think
0,15,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.82,norming,doctor-think
0,38,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.43,norming,doctor-think
0,36,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.22,norming,doctor-think
0,45,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.17,norming,doctor-think
0,68,think,doctor,believe,negative,What proportion of doctors generally believe that their patients will get the flu?,0.33,norming,doctor-think
2,26,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.13,norming,dancer-boast
2,51,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.5,norming,dancer-boast
2,88,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.78,norming,dancer-boast
2,19,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.52,norming,dancer-boast
2,25,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.66,norming,dancer-boast
2,84,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.45,norming,dancer-boast
2,47,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.45,norming,dancer-boast
2,74,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.5,norming,dancer-boast
2,63,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.9,norming,dancer-boast
2,62,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.47,norming,dancer-boast
2,90,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.68,norming,dancer-boast
2,85,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.7,norming,dancer-boast
2,1,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.19,norming,dancer-boast
2,37,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.37,norming,dancer-boast
2,83,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.64,norming,dancer-boast
2,18,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.5,norming,dancer-boast
2,44,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.75,norming,dancer-boast
2,98,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.84,norming,dancer-boast
2,61,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.59,norming,dancer-boast
2,69,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.38,norming,dancer-boast
2,21,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.67,norming,dancer-boast
2,65,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.7,norming,dancer-boast
2,82,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.9,norming,dancer-boast
2,52,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.68,norming,dancer-boast
2,89,boast,dancer,believe,positive,What proportion of dancers generally believe that their shows will sell out?,0.61,norming,dancer-boast
0,96,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.99999,norming,bouncer-dissuade
0,33,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.99999,norming,bouncer-dissuade
0,2,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.62,norming,bouncer-dissuade
0,59,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.99999,norming,bouncer-dissuade
0,29,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.79,norming,bouncer-dissuade
0,76,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.71,norming,bouncer-dissuade
0,20,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.97,norming,bouncer-dissuade
0,31,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.99999,norming,bouncer-dissuade
0,64,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.67,norming,bouncer-dissuade
0,12,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.99999,norming,bouncer-dissuade
0,30,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.99999,norming,bouncer-dissuade
0,27,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.85,norming,bouncer-dissuade
0,34,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.92,norming,bouncer-dissuade
0,7,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.99999,norming,bouncer-dissuade
0,50,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.99,norming,bouncer-dissuade
0,71,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.99999,norming,bouncer-dissuade
0,16,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.99,norming,bouncer-dissuade
0,49,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.99999,norming,bouncer-dissuade
0,66,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.97,norming,bouncer-dissuade
0,95,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.99,norming,bouncer-dissuade
0,15,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.99999,norming,bouncer-dissuade
0,38,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.7,norming,bouncer-dissuade
0,36,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.84,norming,bouncer-dissuade
0,45,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.99999,norming,bouncer-dissuade
0,68,dissuade,bouncer,believe,positive,What proportion of partygoers generally believe that parties will start?,0.99999,norming,bouncer-dissuade
2,26,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.81,norming,curator-like
2,51,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.99999,norming,curator-like
2,88,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.87,norming,curator-like
2,19,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.75,norming,curator-like
2,25,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.63,norming,curator-like
2,84,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.72,norming,curator-like
2,47,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.99999,norming,curator-like
2,74,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.85,norming,curator-like
2,63,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.87,norming,curator-like
2,62,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.38,norming,curator-like
2,90,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.91,norming,curator-like
2,85,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.8,norming,curator-like
2,1,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.82,norming,curator-like
2,37,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.62,norming,curator-like
2,83,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.95,norming,curator-like
2,18,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.85,norming,curator-like
2,44,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.65,norming,curator-like
2,98,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.99999,norming,curator-like
2,61,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.57,norming,curator-like
2,69,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.81,norming,curator-like
2,21,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.99999,norming,curator-like
2,65,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.9,norming,curator-like
2,82,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.92,norming,curator-like
2,52,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.6,norming,curator-like
2,89,like,curator,believe,positive,What proportion of curators generally believe that journalists will praise their exhibits?,0.64,norming,curator-like
0,96,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.2,norming,waiter-worry
0,33,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.14,norming,waiter-worry
0,2,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.21,norming,waiter-worry
0,59,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.19,norming,waiter-worry
0,29,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.14,norming,waiter-worry
0,76,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.31,norming,waiter-worry
0,20,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.23,norming,waiter-worry
0,31,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.35,norming,waiter-worry
0,64,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.13,norming,waiter-worry
0,12,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.16,norming,waiter-worry
0,30,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.19,norming,waiter-worry
0,27,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.01,norming,waiter-worry
0,34,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.51,norming,waiter-worry
0,7,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.04,norming,waiter-worry
0,50,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.3,norming,waiter-worry
0,71,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.07,norming,waiter-worry
0,16,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.07,norming,waiter-worry
0,49,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.03,norming,waiter-worry
0,66,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.23,norming,waiter-worry
0,95,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.06,norming,waiter-worry
0,15,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.2,norming,waiter-worry
0,38,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.18,norming,waiter-worry
0,36,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.18,norming,waiter-worry
0,45,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.37,norming,waiter-worry
0,68,worry,waiter,believe,negative,What proportion of waiters generally believe that diners will hate their meals?,0.2,norming,waiter-worry
2,26,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.17,norming,boss-tell
2,51,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.25,norming,boss-tell
2,88,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.22,norming,boss-tell
2,19,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.23,norming,boss-tell
2,25,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.37,norming,boss-tell
2,84,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.37,norming,boss-tell
2,47,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.15,norming,boss-tell
2,74,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.25,norming,boss-tell
2,63,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.27,norming,boss-tell
2,62,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.39,norming,boss-tell
2,90,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.08,norming,boss-tell
2,85,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.1,norming,boss-tell
2,1,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.62,norming,boss-tell
2,37,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.37,norming,boss-tell
2,83,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.76,norming,boss-tell
2,18,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.3,norming,boss-tell
2,44,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.11,norming,boss-tell
2,98,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.2,norming,boss-tell
2,61,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.21,norming,boss-tell
2,69,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.37,norming,boss-tell
2,21,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.3,norming,boss-tell
2,65,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.4,norming,boss-tell
2,82,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,1e-05,norming,boss-tell
2,52,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.59,norming,boss-tell
2,89,tell,boss,believe,negative,What proportion of bosses generally believe that merger will fall through?,0.51,norming,boss-tell
2,26,regret,driver,believe,negative,What proportion of drivers generally believe that cars will break down?,0.05,norming,driver-regret
2,51,regret,driver,believe,negative,What proportion of drivers generally believe that cars will break down?,0.99999,norming,driver-regret
2,88,regret,driver,believe,negative,What proportion of drivers generally believe that cars will break down?,0.64,norming,driver-regret
2,19,regret,driver,believe,negative,What proportion of drivers generally believe that cars will break down?,0.99999,norming,driver-regret
